id;age;gender;region_id
5ec9a0bb-d93e-40bf-959a-4a8ba2bd6db1;16;F;6
20c500bd-5929-44bd-85f8-ed98b2345724;27;F;13
54cf2640-933d-4084-9bf3-a62011bddd15;24;M;21
5b942244-d084-47d5-948a-cfbf833a4e25;45;M;21
bd525a43-b7d6-4c53-a82a-fade2c8aa3bb;36;F;23
e6853129-4ab8-45eb-a655-0d6e3991856e;20;F;23
49cbed20-a1d4-4eb7-871e-a3194928367d;46;M;13
118c72d9-54d9-4cc1-9112-56082dbc36ec;18;M;6
797fef6b-289c-4b48-85bb-78d5cf11c70f;39;F;22
9a82de7a-eecd-488b-b2b2-69fb96caed4c;25;M;6
6b52667e-0719-4bb9-a2b9-bea7ee5bcb81;31;M;8
2199de2f-1bad-473d-9c9f-fb73d0525846;41;F;23
afbb14cb-6b6b-4221-9367-375f85f99952;41;F;6
d87d69f5-f9dd-4264-9c33-461c1284d7fc;51;M;14
cfd6f82b-efee-438d-bb78-1e0dbbb7ba65;34;M;5
5c049d02-85d2-4033-ae46-3c5f3643d7d8;39;M;6
818c1ce6-1018-4a2e-8941-0becafc488d2;30;F;3
4b994481-4f49-409f-a021-41fbac78803f;37;F;2
6ff35cc6-8f3f-4ad6-bc1a-a58dc4af3398;40;F;17
272fbcb4-3ccf-435e-ab37-31e91b986809;34;F;20
6f619948-134b-49c8-a2f8-cc62712dd517;16;M;2
0f739606-d397-4c22-8e68-ca619623183b;39;F;15
2d92aa7a-db84-4505-9de6-f124730f1c15;39;M;4
0f6e438b-5c51-4be6-a45b-b5532c9edd34;27;M;7
ba50e9bc-71fb-4853-825b-025614740203;20;F;3
3fe7577c-42ae-4d19-b691-3096629a62ba;53;M;6
23cc916d-4bb9-4a03-a282-f8fe53d308ab;41;M;13
ea380dbd-366b-40de-bb52-a65139e7f8d8;32;M;22
7236a1d2-d0aa-412d-980a-3f3e8e8694e2;21;M;12
6acf270d-81a7-4687-aa19-bc2504518f6a;25;M;21
6a78a67a-f014-4e0c-90a6-790cc7532745;51;F;2
c7c17879-3e68-4f2f-9d57-ecabd957dcc2;37;F;11
9829a698-4858-426b-9cdd-9953bcc71822;28;F;2
df563e8e-9b09-4637-9f06-40718bf47e7c;41;M;6
bdcd7046-3297-45de-b31c-c3c062fa0d21;25;M;2
fd08c2fb-2897-4abf-b5ed-cbfa1a228a9c;53;M;8
2989685e-dec7-448a-bae0-b1aee958ab70;51;M;8
90238550-e723-4f29-a24f-f1a6783378c7;29;M;7
949b06c2-cf77-4497-8c61-5afd3613cf8d;27;F;14
e6d4ad89-f13c-4d5e-8810-35054398ba2a;16;M;13
46386b46-634f-42c5-9b70-baf7f190e0ca;17;M;6
27a1f368-dcef-4a61-b1f2-dad9296a7109;19;F;6
791088d6-ba57-491e-b818-0b04f83a6d5d;37;F;11
